customer_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons_conf_idx,euribor3m
CUST-00001,26,admin.,single,high.school,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-46.2,1.266
CUST-00002,36,admin.,single,unknown,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-42.7,4.961
CUST-00003,38,blue-collar,married,basic.9y,no,no,no,telephone,may,fri,1,999,0,nonexistent,-36.4,4.857
CUST-00004,25,blue-collar,single,basic.4y,no,yes,no,telephone,may,fri,1,999,0,nonexistent,-36.4,4.855
CUST-00005,29,services,single,high.school,unknown,yes,no,cellular,jul,fri,2,999,0,nonexistent,-42.7,4.963
CUST-00006,36,admin.,single,university.degree,no,yes,no,cellular,apr,thu,4,999,1,failure,-47.1,1.435
CUST-00007,36,admin.,single,basic.6y,no,yes,no,telephone,may,wed,2,999,1,failure,-46.2,1.334
CUST-00008,59,retired,married,unknown,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,-36.4,4.857
CUST-00009,54,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,mon,5,999,0,nonexistent,-47.1,1.405
CUST-00010,54,technician,married,basic.6y,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,-42.7,4.962
CUST-00011,52,technician,married,professional.course,unknown,no,no,cellular,aug,wed,1,999,0,nonexistent,-36.1,4.967
CUST-00012,36,management,divorced,university.degree,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-42.7,4.961
CUST-00013,28,admin.,single,university.degree,no,yes,no,cellular,sep,mon,2,6,3,success,-37.5,0.882
CUST-00014,43,blue-collar,married,basic.9y,unknown,no,no,cellular,may,mon,6,999,0,nonexistent,-46.2,1.299
CUST-00015,35,blue-collar,married,high.school,no,no,yes,telephone,may,tue,3,999,0,nonexistent,-36.4,4.857
CUST-00016,46,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,mon,2,999,0,nonexistent,-46.2,1.299
CUST-00017,34,self-employed,married,basic.4y,unknown,yes,no,cellular,apr,fri,3,999,0,nonexistent,-47.1,1.405
CUST-00018,31,technician,married,professional.course,unknown,no,no,cellular,aug,mon,2,999,0,nonexistent,-36.1,4.97
CUST-00019,35,technician,married,professional.course,no,yes,no,telephone,jun,tue,6,999,0,nonexistent,-41.8,4.864
CUST-00020,28,student,single,unknown,no,yes,no,telephone,aug,fri,3,999,0,nonexistent,-31.4,0.825
CUST-00021,58,admin.,married,university.degree,unknown,yes,yes,cellular,aug,tue,4,999,0,nonexistent,-36.1,4.963
CUST-00022,41,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,mon,2,999,0,nonexistent,-46.2,1.299
CUST-00023,38,management,single,university.degree,no,no,no,cellular,nov,thu,4,999,0,nonexistent,-42.0,4.076
CUST-00024,24,blue-collar,single,basic.9y,no,no,no,cellular,jul,fri,3,999,0,nonexistent,-42.7,4.957
CUST-00025,41,technician,single,professional.course,no,no,no,cellular,aug,tue,1,999,0,nonexistent,-36.1,4.965
CUST-00026,35,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,3,999,0,nonexistent,-36.1,4.963
CUST-00027,49,management,married,university.degree,no,no,no,cellular,jun,mon,2,999,0,nonexistent,-40.8,1.266
CUST-00028,29,admin.,single,university.degree,no,yes,no,cellular,may,tue,8,999,0,nonexistent,-46.2,1.344
CUST-00029,56,management,married,university.degree,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-42.0,4.12
CUST-00030,32,blue-collar,married,high.school,no,yes,no,cellular,apr,thu,2,999,1,failure,-47.1,1.435
CUST-00031,37,entrepreneur,married,university.degree,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,-41.8,4.865
CUST-00032,31,technician,single,professional.course,no,no,no,cellular,may,tue,2,999,1,failure,-46.2,1.291
CUST-00033,39,blue-collar,married,basic.9y,unknown,no,yes,cellular,may,wed,3,999,1,failure,-46.2,1.334
CUST-00034,52,management,married,high.school,unknown,yes,no,telephone,may,fri,4,999,0,nonexistent,-36.4,4.855
CUST-00035,59,retired,married,unknown,no,no,no,cellular,aug,fri,2,999,0,nonexistent,-31.4,0.825
CUST-00036,24,services,single,high.school,no,no,no,telephone,may,fri,1,999,0,nonexistent,-36.4,4.855
CUST-00037,49,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,1,999,0,nonexistent,-41.8,4.959
CUST-00038,29,blue-collar,single,university.degree,no,no,no,telephone,jun,wed,2,999,0,nonexistent,-41.8,4.864
CUST-00039,33,admin.,single,university.degree,no,yes,yes,cellular,aug,tue,4,999,0,nonexistent,-36.1,4.963
CUST-00040,47,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,fri,1,999,0,nonexistent,-36.4,4.857
CUST-00041,27,management,married,basic.9y,no,no,yes,cellular,jul,mon,3,999,0,nonexistent,-42.7,4.962
CUST-00042,46,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,2,999,0,nonexistent,-46.2,1.299
CUST-00043,24,housemaid,married,basic.9y,no,no,no,cellular,may,wed,4,999,0,nonexistent,-46.2,1.281
CUST-00044,39,services,married,high.school,no,yes,yes,cellular,nov,mon,3,999,0,nonexistent,-42.0,4.191
CUST-00045,36,services,married,high.school,no,yes,no,cellular,nov,mon,2,999,0,nonexistent,-42.0,4.191
CUST-00046,38,technician,married,professional.course,no,no,no,cellular,may,tue,1,999,0,nonexistent,-46.2,1.344
CUST-00047,36,admin.,divorced,university.degree,unknown,yes,yes,cellular,aug,wed,1,999,0,nonexistent,-36.1,4.965
CUST-00048,54,management,married,high.school,unknown,no,no,cellular,may,mon,5,999,1,failure,-46.2,1.299
CUST-00049,30,admin.,single,university.degree,no,no,no,cellular,aug,wed,1,999,0,nonexistent,-36.1,4.964
CUST-00050,48,entrepreneur,single,university.degree,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-42.7,4.961
